Plotnaam,Plotjes,Soorten,Ronde,X-Rechts,Y-Rechts,X-Links,Y-Links,Datum,Temperatuur,Bewolking,Neerslag,Wind,Categorie,Dichtheid,Bedekking
Gemaal,2,Witte waterlelie,Ronde_1,,,,,16/08/21,19, 3/8,geen,ZZW3,,,
Gemaal,2,Rietgras,Ronde_1,,,,,16/08/21,19, 3/8,geen,ZZW3,,,
Gemaal,2,Liesgras,Ronde_1,,,,,16/08/21,19, 3/8,geen,ZZW3,,,
Gemaal,2,Grote egelskop,Ronde_1,,,,,16/08/21,19, 3/8,geen,ZZW3,,,
Gemaal,2,Mattebies,Ronde_1,,,,,16/08/21,19, 3/8,geen,ZZW3,,,
Gemaal,2,Ruwebies,Ronde_1,,,,,16/08/21,19, 3/8,geen,ZZW3,,,
Gemaal,2,Kleine lisdodde,Ronde_1,,,,,16/08/21,19, 3/8,geen,ZZW3,4,50-75%,
Gemaal,3,Riet,Ronde_1,,,,,16/08/21,19, 3/8,geen,ZZW3,+,<5%,
Gemaal,3,Lisdodde,Ronde_1,,,,,16/08/21,19, 3/8,geen,ZZW3,,,
Gemaal,3,Witte waterlelie,Ronde_1,,,,,16/08/21,19, 3/8,geen,ZZW3,,,
Gemaal,3,Rietgras,Ronde_1,,,,,16/08/21,19, 3/8,geen,ZZW3,2,<5%,
Gemaal,3,Liesgras,Ronde_1,,,,,16/08/21,19, 3/8,geen,ZZW3,,,
Gemaal,3,Grote egelskop,Ronde_1,,,,,16/08/21,19, 3/8,geen,ZZW3,,,
Gemaal,3,Mattebies,Ronde_1,,,,,16/08/21,19, 3/8,geen,ZZW3,,,
Gemaal,3,Ruwebies,Ronde_1,,,,,16/08/21,19, 3/8,geen,ZZW3,,,
Gemaal,3,Kleine lisdodde,Ronde_1,,,,,16/08/21,19, 3/8,geen,ZZW3,,,
Gemaal,4,Riet,Ronde_1,,,,,16/08/21,19, 3/8,geen,ZZW3,4,50-75%,
Gemaal,4,Lisdodde,Ronde_1,,,,,16/08/21,19, 3/8,geen,ZZW3,,,
Gemaal,4,Witte waterlelie,Ronde_1,,,,,16/08/21,19, 3/8,geen,ZZW3,,,
Gemaal,4,Rietgras,Ronde_1,,,,,16/08/21,19, 3/8,geen,ZZW3,1,5%,
Gemaal,4,Liesgras,Ronde_1,,,,,16/08/21,19, 3/8,geen,ZZW3,,,
Gemaal,4,Grote egelskop,Ronde_1,,,,,16/08/21,19, 3/8,geen,ZZW3,,,
Gemaal,4,Mattebies,Ronde_1,,,,,16/08/21,19, 3/8,geen,ZZW3,,,
Gemaal,4,Ruwebies,Ronde_1,,,,,16/08/21,19, 3/8,geen,ZZW3,,,
Gemaal,4,Kleine lisdodde,Ronde_1,,,,,16/08/21,19, 3/8,geen,ZZW3,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Rijnstrangen,1,Riet,Ronde_2,,,,,29/05/20,16,0    ,0,,4,Random,0.65
Rijnstrangen,1,Lisdodde,Ronde_2,,,,,29/05/20,16,0    ,0,,,,
Rijnstrangen,1,Witte waterlelie,Ronde_2,,,,,29/05/20,16,0    ,0,,,,
Rijnstrangen,1,Rietgras,Ronde_2,,,,,29/05/20,16,0    ,0,,2,Random,0.1
Rijnstrangen,1,Liesgras,Ronde_2,,,,,29/05/20,16,0    ,0,,,,
Rijnstrangen,1,Grote egelskop,Ronde_2,,,,,29/05/20,16,0    ,0,,,,
Rijnstrangen,1,Mattebies,Ronde_2,,,,,29/05/20,16,0    ,0,,,,
Rijnstrangen,1,Ruwebies,Ronde_2,,,,,29/05/20,16,0    ,0,,,,
Rijnstrangen,1,Kleine lisdodde,Ronde_2,,,,,29/05/20,16,0    ,0,,,,
Rijnstrangen,2,Riet,Ronde_2,,,,,29/05/20,19,0    ,0,,,,
Rijnstrangen,2,Lisdodde,Ronde_2,,,,,29/05/20,19,0    ,0,,,,
Rijnstrangen,2,Witte waterlelie,Ronde_2,,,,,29/05/20,19,0    ,0,,,,
Rijnstrangen,2,Rietgras,Ronde_2,,,,,29/05/20,19,0    ,0,,+,Few individuals,0.05
Rijnstrangen,2,Liesgras,Ronde_2,,,,,29/05/20,19,0    ,0,,,,
Rijnstrangen,2,Grote egelskop,Ronde_2,,,,,29/05/20,19,0    ,0,,,,
Rijnstrangen,2,Mattebies,Ronde_2,,,,,29/05/20,19,0    ,0,,,,
Rijnstrangen,2,Ruwebies,Ronde_2,,,,,29/05/20,19,0    ,0,,,,
Rijnstrangen,2,Kleine lisdodde,Ronde_2,,,,,29/05/20,19,0    ,0,,R,Very few individuals,0.05
Rijnstrangen,3,Riet,Ronde_2,,,,,29/05/20,19,0    ,0,,,,
Rijnstrangen,3,Lisdodde,Ronde_2,,,,,29/05/20,19,0    ,0,,,,
Rijnstrangen,3,Witte waterlelie,Ronde_2,,,,,29/05/20,19,0    ,0,,,,
Rijnstrangen,3,Rietgras,Ronde_2,,,,,29/05/20,19,0    ,0,,3,Random,0.3
Rijnstrangen,3,Liesgras,Ronde_2,,,,,29/05/20,19,0    ,0,,,,
Rijnstrangen,3,Grote egelskop,Ronde_2,,,,,29/05/20,19,0    ,0,,,,
Rijnstrangen,3,Mattebies,Ronde_2,,,,,29/05/20,19,0    ,0,,,,
Rijnstrangen,3,Ruwebies,Ronde_2,,,,,29/05/20,19,0    ,0,,,,
Rijnstrangen,3,Kleine lisdodde,Ronde_2,,,,,29/05/20,19,0    ,0,,,,
Rijnstrangen,4,Riet,Ronde_2,,,,,29/05/20,19,0    ,0,,3,Random,0.5
Rijnstrangen,4,Lisdodde,Ronde_2,,,,,29/05/20,19,0    ,0,,,,
Rijnstrangen,4,Witte waterlelie,Ronde_2,,,,,29/05/20,19,0    ,0,,,,
Rijnstrangen,4,Rietgras,Ronde_2,,,,,29/05/20,19,0    ,0,,+,Few individuals,0.05
Rijnstrangen,4,Liesgras,Ronde_2,,,,,29/05/20,19,0    ,0,,,,
Rijnstrangen,4,Grote egelskop,Ronde_2,,,,,29/05/20,19,0    ,0,,,,
Rijnstrangen,4,Mattebies,Ronde_2,,,,,29/05/20,19,0    ,0,,,,
Rijnstrangen,4,Ruwebies,Ronde_2,,,,,29/05/20,19,0    ,0,,,,
Rijnstrangen,4,Kleine lisdodde,Ronde_2,,,,,29/05/20,19,0    ,0,,,,
Rijnstrangen,5,Riet,Ronde_2,,,,,29/05/20,19,0    ,0,,4,Random,0.6
Rijnstrangen,5,Lisdodde,Ronde_2,,,,,29/05/20,19,0    ,0,,,,
Rijnstrangen,5,Witte waterlelie,Ronde_2,,,,,29/05/20,19,0    ,0,,,,
Rijnstrangen,5,Rietgras,Ronde_2,,,,,29/05/20,19,0    ,0,,2,Random,0.25
Rijnstrangen,5,Liesgras,Ronde_2,,,,,29/05/20,19,0    ,0,,,,
Rijnstrangen,5,Grote egelskop,Ronde_2,,,,,29/05/20,19,0    ,0,,,,
Rijnstrangen,5,Mattebies,Ronde_2,,,,,29/05/20,19,0    ,0,,,,
Rijnstrangen,5,Ruwebies,Ronde_2,,,,,29/05/20,19,0    ,0,,,,
Rijnstrangen,5,Kleine lisdodde,Ronde_2,,,,,29/05/20,19,0    ,0,,,,
Rijnstrangen,6,Riet,Ronde_2,,,,,29/05/20,19,0    ,0,,3,Random,0.4
Rijnstrangen,6,Lisdodde,Ronde_2,,,,,29/05/20,19,0    ,0,,,,
Rijnstrangen,6,Witte waterlelie,Ronde_2,,,,,29/05/20,19,0    ,0,,,,
Rijnstrangen,6,Rietgras,Ronde_2,,,,,29/05/20,19,0    ,0,,,,
Rijnstrangen,6,Liesgras,Ronde_2,,,,,29/05/20,19,0    ,0,,,,
Rijnstrangen,6,Grote egelskop,Ronde_2,,,,,29/05/20,19,0    ,0,,,,
Rijnstrangen,6,Mattebies,Ronde_2,,,,,29/05/20,19,0    ,0,,,,
Rijnstrangen,6,Ruwebies,Ronde_2,,,,,29/05/20,19,0    ,0,,,,
Rijnstrangen,6,Kleine lisdodde,Ronde_2,,,,,29/05/20,19,0    ,0,,3,Random,0.3
